epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8528.25,0.89493,0.75335,1.15147,0.78317,0.56043,0.61785,0.41293,1.29428,0.97767,1.28629,0.000553027,0.000553027,0.000553027
56,8635.23,0.90212,0.76118,1.15431,0.78249,0.57996,0.62461,0.41264,1.28678,0.96265,1.28355,0.000532398,0.000532398,0.000532398
57,8742.05,0.89384,0.74726,1.14964,0.78319,0.56775,0.61932,0.42207,1.28781,0.96914,1.28507,0.000511769,0.000511769,0.000511769
58,8849.41,0.89492,0.73915,1.14923,0.75728,0.5842,0.62215,0.41652,1.28445,0.95959,1.28318,0.00049114,0.00049114,0.00049114
59,8956.85,0.89358,0.74648,1.15124,0.78838,0.56182,0.61569,0.41539,1.28306,0.97482,1.27982,0.000470511,0.000470511,0.000470511
60,9064.45,0.87883,0.71643,1.13695,0.79683,0.57028,0.62262,0.42344,1.285,0.98614,1.2893,0.000449882,0.000449882,0.000449882
61,9172.03,0.88206,0.73123,1.14264,0.74926,0.58005,0.62339,0.42444,1.27773,0.96358,1.28335,0.000429253,0.000429253,0.000429253
62,9279.5,0.8724,0.71437,1.13475,0.76122,0.5788,0.62603,0.43001,1.27705,0.98399,1.27715,0.000408623,0.000408623,0.000408623
63,9387.01,0.87237,0.70949,1.13163,0.79377,0.57539,0.62949,0.42837,1.28065,0.96574,1.2793,0.000387994,0.000387994,0.000387994
64,9494.19,0.86739,0.7062,1.13176,0.76598,0.57642,0.62228,0.42229,1.27121,0.96048,1.26893,0.000367365,0.000367365,0.000367365
65,9605.52,0.86043,0.70217,1.12579,0.77336,0.57521,0.6173,0.41698,1.2708,0.9587,1.27059,0.000346736,0.000346736,0.000346736
66,9726.96,0.85087,0.70266,1.1242,0.78042,0.58693,0.63068,0.42985,1.2667,0.95916,1.26564,0.000326107,0.000326107,0.000326107
67,9837.05,0.84269,0.69168,1.11954,0.80906,0.5543,0.63137,0.42904,1.27562,0.96313,1.27617,0.000305478,0.000305478,0.000305478
68,9944.48,0.84725,0.69495,1.12262,0.8119,0.5723,0.63625,0.43509,1.27784,0.96258,1.28237,0.000284849,0.000284849,0.000284849
69,10051.6,0.83559,0.68281,1.1169,0.79091,0.57909,0.6285,0.42626,1.27289,0.95744,1.27715,0.00026422,0.00026422,0.00026422
70,10158.5,0.83778,0.67268,1.11099,0.78418,0.5761,0.63014,0.42862,1.27438,0.95131,1.27676,0.00024359,0.00024359,0.00024359
